time_s,rpm,rpm_raw,engine_state,throttle_gas_pct,brake,ignition,gear_selector,gear_auto,gear_physical,clutch_pressure,road_implied_rpm,creep_relief_fired,vehicle_speed_kmh,target_speed_kmh,sim_speed_mph,engine_torque_nm,drivetrain_torque_nm,dyno_torque_nm,starter_engaged,exhaust_flow_cm3s,synth_out_rms
0.017,0,0,Stopped,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,2374.4544,-1.0000
0.016,7,88,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,3599.2905,-1.0000
0.033,26,175,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,6686.9105,0.0056
0.049,53,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,8982.4755,1.4656
0.066,75,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,9278.3944,26.3646
0.080,94,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,3720.2252,130.7299
0.080,111,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,-7059.3982,157.4483
0.080,124,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,8663.5224,485.2086
0.133,136,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,9202.4485,919.4413
0.149,146,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,9461.8565,107.7680
0.166,154,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,-9262.7058,113.0833
0.183,161,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,5756.7272,258.4465
0.199,167,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,8993.1452,977.8138
0.216,172,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,10054.7933,977.8138
0.233,177,203,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,6915.1856,213.8194
0.249,180,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,5878.2482,120.4067
0.266,183,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,8795.8976,125.9684
0.283,186,200,Cranking,55,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,1,9052.0821,108.8843
