time_s,rpm,rpm_raw,engine_state,throttle_gas_pct,brake,ignition,gear_selector,gear_auto,gear_physical,clutch_pressure,road_implied_rpm,creep_relief_fired,vehicle_speed_kmh,target_speed_kmh,sim_speed_mph,engine_torque_nm,drivetrain_torque_nm,dyno_torque_nm,starter_engaged,exhaust_flow_cm3s,synth_out_rms
0.017,0,0,Stopped,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,3137.1821,-1.0000
0.016,13,169,Cranking,55,0.00,1,99,1,1,0.6000,-184.1,0,0.001,-2.000,0.000,0.3,-6.8,0.0,1,6862.3480,-1.0000
0.033,49,316,Cranking,55,0.00,1,99,1,1,0.6000,-184.1,0,0.004,-2.000,0.003,1.8,-43.8,0.0,1,15010.6831,-1.0000
0.049,102,457,Cranking,55,0.00,1,99,1,1,0.6000,-184.1,0,0.013,-2.000,0.008,4.4,-107.3,0.0,1,20328.3741,-1.0000
0.066,163,529,Cranking,55,0.00,1,99,1,1,0.6000,-184.1,0,0.028,-2.000,0.018,7.2,-178.2,0.0,1,-561.4511,-1.0000
0.080,231,687,Cranking,55,0.00,1,99,1,1,0.6000,-184.1,0,0.050,-2.000,0.031,10.4,-256.6,0.0,1,5197.6739,-1.0000
0.080,309,822,Cranking,55,0.00,1,99,1,1,0.6000,-184.1,0,0.083,-2.000,0.051,15.8,-387.1,0.0,1,10139.4933,-1.0000
0.080,398,956,Cranking,55,0.00,1,99,1,1,0.6000,-184.1,0,0.129,-2.000,0.080,22.4,-547.9,0.0,1,44234.9505,-1.0000
0.133,493,1096,Cranking,55,0.00,1,99,1,1,0.6000,-184.1,0,0.191,-2.000,0.118,29.9,-730.1,0.0,1,56665.1334,-1.0000
0.149,595,1213,Cranking,55,0.00,1,99,1,1,0.6000,-184.1,0,0.269,-2.000,0.167,38.2,-930.3,0.0,1,73576.3747,-1.0000
0.166,698,1308,Cranking,55,0.00,1,99,1,1,0.6000,-184.1,0,0.364,-2.000,0.226,46.0,-1117.0,0.0,1,93037.4247,-1.0000
0.183,787,1257,Running,55,0.00,1,99,1,1,0.6000,-184.1,0,0.460,-2.000,0.286,47.2,-1139.6,0.0,0,89009.0547,-1.0000
0.199,854,1191,Running,16,0.00,1,99,1,1,0.6000,-184.1,0,0.547,-2.000,0.340,43.1,-1034.3,0.0,0,83234.4008,-1.0000
0.216,905,1176,Running,15,0.00,1,99,1,1,0.6000,-184.1,0,0.629,-2.000,0.391,40.4,-964.7,0.0,0,102114.5359,-1.0000
0.233,946,1176,Running,15,0.00,1,99,1,1,0.6000,-184.1,0,0.708,-2.000,0.440,39.5,-936.9,0.0,0,109664.4185,-1.0000
0.249,979,1155,Running,14,0.00,1,99,1,1,0.6000,-184.1,0,0.786,-2.000,0.488,39.1,-923.9,0.0,0,123587.9202,-1.0000
0.266,1004,1095,Running,13,0.00,1,99,1,1,0.6000,-184.1,0,0.860,-2.000,0.534,37.4,-876.8,0.0,0,99911.8039,-1.0000
0.283,1018,1110,Running,13,0.00,1,99,1,1,0.6000,-184.1,0,0.928,-2.000,0.577,34.7,-810.1,0.0,0,39814.1036,-1.0000
0.299,1033,1135,Running,12,0.00,1,99,1,1,0.6000,-184.1,0,0.999,-2.000,0.620,35.9,-833.9,0.0,0,76753.8095,-1.0000
0.316,1050,1146,Running,11,0.00,1,99,1,1,0.6000,-184.1,0,1.072,-2.000,0.666,37.4,-867.2,0.0,0,129827.3187,-1.0000
0.333,1068,1175,Running,11,0.00,1,99,1,1,0.6000,-184.1,0,1.148,-2.000,0.713,39.0,-900.1,0.0,0,94496.8087,-1.0000
0.349,1087,1217,Running,10,0.00,1,99,1,1,0.6000,-184.1,0,1.228,-2.000,0.763,41.2,-948.4,0.0,0,114430.3309,-1.0000
0.366,1106,1183,Running,9,0.00,1,99,1,1,0.6000,-184.1,0,1.309,-2.000,0.814,42.2,-967.2,0.0,0,165870.9796,-1.0000
0.383,1116,1170,Running,9,0.00,1,99,1,1,0.6000,-184.1,0,1.385,-2.000,0.861,39.3,-892.4,0.0,0,13758.1723,-1.0000
0.399,1127,1215,Running,8,0.00,1,99,1,1,0.6000,-184.1,0,1.463,-2.000,0.909,40.9,-926.6,0.0,0,81164.7972,-1.0000
0.416,1142,1234,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,1.546,-2.000,0.960,43.2,-976.6,0.0,0,138215.7292,-1.0000
0.433,1159,1265,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,1.631,-2.000,1.014,45.0,-1013.9,0.0,0,93296.2544,-1.0000
0.449,1178,1296,Running,6,0.00,1,99,1,1,0.6000,-184.1,0,1.721,-2.000,1.069,47.3,-1063.0,0.0,0,125920.2948,-1.0000
0.466,1194,1246,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,1.811,-2.000,1.125,47.5,-1061.5,0.0,0,127465.9171,-1.0000
0.483,1203,1265,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,1.895,-2.000,1.177,45.0,-996.9,0.0,0,36664.8537,-1.0000
0.499,1213,1281,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,1.982,-2.000,1.231,46.6,-1030.4,0.0,0,92461.9831,-1.0000
0.516,1226,1305,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,2.071,-2.000,1.287,48.1,-1060.4,0.0,0,95661.5026,-1.0000
0.533,1239,1321,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,2.163,-2.000,1.344,49.7,-1090.8,0.0,0,128614.8784,-1.0000
0.549,1252,1328,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,2.257,-2.000,1.402,50.6,-1106.2,0.0,0,86665.7765,-1.0000
0.566,1259,1276,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,2.345,-2.000,1.457,48.2,-1044.6,0.0,0,67463.3113,-1.0000
0.583,1262,1279,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,2.430,-2.000,1.510,47.0,-1012.1,0.0,0,63691.8554,-1.0000
0.599,1266,1296,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,2.517,-2.000,1.564,47.9,-1026.4,0.0,0,79780.7489,-1.0000
0.616,1270,1293,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,2.604,-2.000,1.618,48.2,-1028.7,0.0,0,84592.5541,-1.0000
0.633,1275,1303,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,2.691,-2.000,1.672,48.6,-1031.3,0.0,0,82366.9616,-1.0000
0.649,1277,1251,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,2.776,-2.000,1.725,47.8,-1008.8,0.0,0,98767.6856,-1.0000
0.666,1271,1233,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,2.854,-2.000,1.773,44.1,-918.0,0.0,0,8865.4619,-1.0000
0.683,1265,1239,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,2.931,-2.000,1.821,43.9,-909.3,0.0,0,51141.5458,-1.0000
0.699,1260,1225,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.007,-2.000,1.868,43.8,-903.1,0.0,0,63461.7020,-1.0000
0.716,1255,1229,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.082,-2.000,1.915,43.4,-889.0,0.0,0,61889.0431,-1.0000
0.733,1251,1221,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.156,-2.000,1.961,43.2,-880.5,0.0,0,74935.4335,-1.0000
0.749,1242,1153,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.226,-2.000,2.005,41.2,-830.0,0.0,0,38484.6574,-1.0000
0.766,1228,1147,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.290,-2.000,2.044,38.1,-757.0,0.0,0,25212.7892,-1.0000
0.783,1215,1147,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.353,-2.000,2.083,37.6,-743.6,0.0,0,23850.0694,-1.0000
0.799,1203,1130,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.415,-2.000,2.122,37.3,-732.8,0.0,0,49931.1951,-1.0000
0.816,1191,1120,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.475,-2.000,2.159,36.6,-713.5,0.0,0,38622.2945,-1.0000
0.833,1181,1118,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.534,-2.000,2.196,36.2,-702.1,0.0,0,52380.0405,-1.0000
0.849,1169,1079,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.591,-2.000,2.232,35.1,-674.1,0.0,0,63258.9524,-1.0000
0.866,1150,1041,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.642,-2.000,2.263,31.7,-596.0,0.0,0,-15236.8045,-1.0000
0.877,1132,1025,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.690,-2.000,2.293,30.8,-573.9,0.0,0,29516.5369,-1.0000
0.877,1116,1018,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.738,-2.000,2.322,30.3,-562.0,0.0,0,3469.6180,-1.0000
0.916,1101,1008,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.784,-2.000,2.351,29.8,-548.9,0.0,0,38142.2562,-1.0000
0.933,1087,1009,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.829,-2.000,2.379,29.4,-538.3,0.0,0,35204.3317,-1.0000
0.949,1074,1002,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.874,-2.000,2.407,29.1,-528.3,0.0,0,37969.2888,-1.0000
0.966,1061,964,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,3.916,-2.000,2.434,28.0,-502.5,0.0,0,44317.9396,-1.0000
