time_s,rpm,rpm_raw,engine_state,throttle_gas_pct,brake,ignition,gear_selector,gear_auto,gear_physical,clutch_pressure,road_implied_rpm,creep_relief_fired,vehicle_speed_kmh,target_speed_kmh,sim_speed_mph,engine_torque_nm,drivetrain_torque_nm,dyno_torque_nm,starter_engaged,exhaust_flow_cm3s,synth_out_rms
0.017,0,0,Stopped,0,0.00,1,0,0,0,-1.0000,0.0,0,0.000,-2.000,0.000,0.0,0.0,0.0,0,3137.1821,-1.0000
0.017,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,2579.5157,0.0000
0.033,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,2255.0656,0.0000
0.050,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,1992.0342,0.0000
0.067,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,1776.5345,0.0000
0.083,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,1597.5585,0.0000
0.100,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,1441.4846,0.0000
0.117,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,1315.4072,0.0000
0.133,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,1209.1361,0.0000
0.150,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,1116.4034,0.0000
0.167,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,1042.4861,0.0000
0.183,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,978.0060,0.0000
0.200,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,921.8341,0.0000
0.217,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,878.6590,0.0000
0.233,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,836.8065,0.0000
0.250,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,806.2133,0.0000
0.267,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,778.2462,0.0000
0.283,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,755.3664,0.0000
0.300,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,733.9018,0.0000
0.317,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,719.3116,0.0000
0.333,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,702.0273,0.0000
0.350,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,688.1211,0.0000
0.367,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,681.6748,0.0000
0.383,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,667.5150,0.0000
0.400,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,663.2753,0.0000
0.417,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,653.1206,0.0000
0.433,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,648.8824,0.0000
0.450,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,641.9828,0.0000
0.467,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,636.8782,0.0000
0.483,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,634.1599,0.0000
0.500,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,628.4371,0.0000
0.517,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,628.0896,0.0000
0.533,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,620.6404,0.0000
0.550,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,620.1378,0.0000
0.567,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,616.1592,0.0000
0.583,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,613.4159,0.0000
0.600,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,612.7883,0.0000
0.617,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,608.6395,0.0000
0.633,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,609.1162,0.0000
0.650,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,604.1892,0.0000
0.667,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,602.6554,0.0000
0.683,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,602.6310,0.0000
0.700,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,599.0620,0.0000
0.717,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,599.1207,0.0000
0.733,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,595.8018,0.0000
0.750,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,596.1104,0.0000
0.767,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,592.1774,0.0000
0.783,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,591.4150,0.0000
0.800,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,589.8206,0.0000
0.817,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,588.2053,0.0000
0.833,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,588.9762,0.0000
0.850,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,584.9526,0.0000
0.867,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,583.9660,0.0000
0.883,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,582.7563,0.0000
0.900,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,581.0060,0.0000
0.917,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,580.0929,0.0000
0.933,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,578.7972,0.0000
0.950,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,577.5015,0.0000
0.967,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,576.6170,0.0000
0.983,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,575.0325,0.0000
1.000,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,573.7357,0.0000
1.017,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,572.5497,0.0000
1.033,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,571.9144,0.0000
1.050,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,567.9859,0.0000
1.067,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,569.0711,0.0000
1.083,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,567.7738,0.0000
1.100,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,567.2871,0.0000
1.117,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,563.4597,0.0000
1.133,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,564.8045,0.0000
1.150,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,561.5708,0.0000
1.167,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,562.6667,0.0000
1.183,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,559.4448,0.0000
1.200,0,0,Stopped,60,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.0,0.0,0.0,0,560.5488,0.0000
1.217,13,169,Cranking,55,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,0.3,6.8,0.0,1,4840.8391,0.0000
1.233,50,318,Cranking,55,0.00,1,99,1,1,0.6000,0.0,0,0.000,0.000,0.000,1.8,44.1,0.0,1,13379.4777,0.0000
1.250,102,458,Cranking,55,0.00,1,99,1,1,0.6000,0.0,0,0.001,0.000,0.001,4.4,108.2,0.0,1,19108.8013,0.0007
1.267,164,531,Cranking,55,0.00,1,99,1,1,0.6000,0.0,0,0.007,0.000,0.004,7.3,179.1,0.0,1,-2842.7400,0.0621
1.283,231,687,Cranking,55,0.00,1,99,1,1,0.6000,0.1,0,0.020,0.000,0.012,10.5,258.8,0.0,1,4668.6287,2.1010
1.300,310,821,Cranking,55,0.00,1,99,1,1,0.6000,0.6,0,0.044,0.000,0.027,15.7,387.4,0.0,1,8391.8195,13.9021
1.317,398,960,Cranking,55,0.00,1,99,1,1,0.6000,1.8,0,0.081,0.000,0.050,22.4,551.4,0.0,1,43298.9611,39.0241
1.333,495,1107,Cranking,55,0.00,1,99,1,1,0.6000,4.0,0,0.135,0.000,0.084,30.3,743.6,0.0,1,63150.4150,129.8758
1.350,598,1228,Cranking,55,0.00,1,99,1,1,0.6000,7.5,0,0.207,0.000,0.128,39.1,956.6,0.0,1,95369.2290,402.5237
1.367,704,1331,Cranking,55,0.00,1,99,1,1,0.6000,12.4,0,0.295,0.000,0.183,47.4,1154.2,0.0,1,108441.1032,602.5429
1.383,796,1279,Running,55,0.00,1,99,1,1,0.6000,19.0,0,0.386,0.000,0.240,48.9,1185.3,0.0,0,97505.2297,219.6618
1.400,865,1222,Running,16,0.00,1,99,1,1,0.6000,27.2,0,0.469,0.000,0.291,45.0,1086.3,0.0,0,92281.8129,537.1762
1.417,920,1226,Running,15,0.00,1,99,1,1,0.6000,35.5,0,0.547,0.000,0.340,43.1,1033.1,0.0,0,111555.3020,864.9399
1.433,967,1231,Running,15,0.00,1,99,1,1,0.6000,43.1,0,0.625,0.000,0.388,43.1,1029.4,0.0,0,135363.8461,1705.1634
1.450,1008,1240,Running,14,0.00,1,99,1,1,0.6000,50.3,0,0.704,0.000,0.438,44.1,1048.7,0.0,0,121674.2885,1397.9182
1.467,1040,1198,Running,13,0.00,1,99,1,1,0.6000,57.5,0,0.781,0.000,0.485,42.7,1009.6,0.0,0,106886.4028,2752.3480
1.483,1065,1212,Running,13,0.00,1,99,1,1,0.6000,64.8,0,0.854,0.000,0.531,41.7,980.8,0.0,0,96738.8580,3115.6687
1.500,1091,1245,Running,12,0.00,1,99,1,1,0.6000,71.8,0,0.932,0.000,0.579,43.6,1021.9,0.0,0,79005.9963,3360.3974
1.517,1118,1288,Running,11,0.00,1,99,1,1,0.6000,78.6,0,1.014,0.000,0.630,46.1,1077.5,0.0,0,131531.9414,4740.7815
1.533,1146,1309,Running,11,0.00,1,99,1,1,0.6000,85.8,0,1.100,0.000,0.684,48.6,1133.0,0.0,0,145106.5678,4773.7468
1.550,1174,1337,Running,10,0.00,1,99,1,1,0.6000,93.3,0,1.191,0.000,0.740,51.0,1184.0,0.0,0,137754.8170,2773.2718
1.567,1193,1285,Running,9,0.00,1,99,1,1,0.6000,101.3,0,1.277,0.000,0.793,48.5,1118.5,0.0,0,77273.3380,5055.7737
1.583,1211,1333,Running,9,0.00,1,99,1,1,0.6000,109.6,0,1.363,0.000,0.847,49.3,1133.8,0.0,0,89382.4246,5733.3698
1.600,1231,1350,Running,8,0.00,1,99,1,1,0.6000,117.5,0,1.455,0.000,0.904,51.9,1190.4,0.0,0,151602.0556,6916.5044
1.617,1253,1396,Running,7,0.00,1,99,1,1,0.6000,125.5,0,1.550,0.000,0.963,54.2,1238.5,0.0,0,111832.1724,7767.5688
1.633,1276,1407,Running,7,0.00,1,99,1,1,0.6000,133.9,0,1.650,0.000,1.026,56.7,1290.2,0.0,0,150591.7883,5882.5479
1.650,1293,1368,Running,6,0.00,1,99,1,1,0.6000,142.7,0,1.748,0.000,1.086,55.6,1256.8,0.0,0,96043.3019,4901.2541
1.667,1305,1380,Running,5,0.00,1,99,1,1,0.6000,151.9,0,1.841,0.000,1.144,54.3,1219.8,0.0,0,83934.5872,7187.9501
1.683,1320,1410,Running,5,0.00,1,99,1,1,0.6000,160.8,0,1.939,0.000,1.205,56.2,1259.5,0.0,0,109483.7902,7839.8775
1.700,1334,1424,Running,5,0.00,1,99,1,1,0.6000,169.5,0,2.038,0.000,1.267,57.6,1285.0,0.0,0,109989.1331,8086.2742
1.717,1350,1437,Running,5,0.00,1,99,1,1,0.6000,178.4,0,2.140,0.000,1.330,59.2,1316.4,0.0,0,142028.6029,6583.1051
1.733,1360,1388,Running,5,0.00,1,99,1,1,0.6000,187.6,0,2.239,0.000,1.391,57.8,1275.4,0.0,0,75710.8500,3914.4164
1.750,1364,1390,Running,5,0.00,1,99,1,1,0.6000,197.0,0,2.333,0.000,1.450,55.5,1216.1,0.0,0,77773.2407,5838.7871
1.767,1370,1407,Running,5,0.00,1,99,1,1,0.6000,206.1,0,2.427,0.000,1.508,56.3,1228.3,0.0,0,73731.3311,6613.5325
1.783,1375,1405,Running,5,0.00,1,99,1,1,0.6000,214.7,0,2.523,0.000,1.568,56.9,1234.6,0.0,0,99372.8220,6864.6778
1.800,1381,1416,Running,5,0.00,1,99,1,1,0.6000,223.4,0,2.618,0.000,1.627,57.5,1241.4,0.0,0,108620.7998,5364.4948
1.817,1383,1354,Running,5,0.00,1,99,1,1,0.6000,232.2,0,2.711,0.000,1.684,55.9,1199.4,0.0,0,72081.5316,2742.1633
